team_name,team_url,team_logo_url
Athletic Club,https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/2b390eca.png
Monaco,https://fbref.com/en/squads/fd6114db/Monaco-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/fd6114db.png
Milan,https://fbref.com/en/squads/dc56fe14/Milan-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/dc56fe14.png
Tottenham Hotspur,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/361ca564.png
Fiorentina,https://fbref.com/en/squads/421387cf/Fiorentina-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/421387cf.png
Brest,https://fbref.com/en/squads/fb08dbb3/Brest-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/fb08dbb3.png
Bologna,https://fbref.com/en/squads/1d8099f8/Bologna-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/1d8099f8.png
West Ham United,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/7c21e445.png
Real Sociedad,https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/e31d1cd9.png
Dortmund,https://fbref.com/en/squads/add600ae/Dortmund-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/add600ae.png
Roma,https://fbref.com/en/squads/cf74a709/Roma-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/cf74a709.png
Lille,https://fbref.com/en/squads/cb188c0c/Lille-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/cb188c0c.png
Manchester United,https://fbref.com/en/squads/19538871/Manchester-United-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/19538871.png
Marseille,https://fbref.com/en/squads/5725cc7b/Marseille-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/5725cc7b.png
Brighton and Hove Albion,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/d07537b9.png
Napoli,https://fbref.com/en/squads/d48ad4ff/Napoli-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/d48ad4ff.png
Real Betis,https://fbref.com/en/squads/fc536746/Real-Betis-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/fc536746.png
Newcastle United,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/b2b47a98.png
Atalanta,https://fbref.com/en/squads/922493f3/Atalanta-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/922493f3.png
Lens,https://fbref.com/en/squads/fd4e0f7d/Lens-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/fd4e0f7d.png
Reims,https://fbref.com/en/squads/7fdd64e0/Reims-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/7fdd64e0.png
Eintracht Frankfurt,https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats,https://cdn.ssref.net/req/202312151/tlogo/fb/f0ac8ee6.png
